age_group,invited,registered,date
-18,0,170,2021-05-01
18-30,255,2412,2021-05-01
30-40,259,2947,2021-05-01
40-50,566,3666,2021-05-01
50-60,4458,5050,2021-05-01
60-75,6355,6422,2021-05-01
75-,1789,1797,2021-05-01
-18,0,112,2021-05-02
18-30,132,1517,2021-05-02
30-40,203,2207,2021-05-02
40-50,475,2940,2021-05-02
50-60,3632,4157,2021-05-02
60-75,5366,5431,2021-05-02
75-,1573,1583,2021-05-02
-18,0,27,2021-05-03
18-30,171,1617,2021-05-03
30-40,313,2761,2021-05-03
40-50,629,3297,2021-05-03
50-60,3748,4266,2021-05-03
60-75,5037,5086,2021-05-03
75-,1428,1440,2021-05-03
-18,0,16,2021-05-04
18-30,172,1421,2021-05-04
30-40,268,2279,2021-05-04
40-50,526,2798,2021-05-04
50-60,3159,3624,2021-05-04
60-75,4105,4148,2021-05-04
75-,1189,1193,2021-05-04
-18,0,46,2021-05-05
18-30,145,1456,2021-05-05
30-40,234,2153,2021-05-05
40-50,470,2620,2021-05-05
50-60,3052,3505,2021-05-05
60-75,3973,4021,2021-05-05
75-,1151,1156,2021-05-05
-18,0,56,2021-05-06
18-30,142,1136,2021-05-06
30-40,216,1739,2021-05-06
40-50,419,2221,2021-05-06
50-60,2731,3082,2021-05-06
60-75,3692,3729,2021-05-06
75-,1055,1062,2021-05-06
-18,0,69,2021-05-07
18-30,169,1687,2021-05-07
30-40,241,2415,2021-05-07
40-50,490,2816,2021-05-07
50-60,3284,3726,2021-05-07
60-75,4541,4589,2021-05-07
75-,1174,1187,2021-05-07
-18,0,79,2021-05-08
18-30,149,1623,2021-05-08
30-40,171,2114,2021-05-08
40-50,388,2577,2021-05-08
50-60,3108,3531,2021-05-08
60-75,4240,4299,2021-05-08
75-,1158,1162,2021-05-08
-18,0,93,2021-05-09
18-30,163,1847,2021-05-09
30-40,220,2565,2021-05-09
40-50,438,3071,2021-05-09
50-60,3779,4303,2021-05-09
60-75,4949,5035,2021-05-09
75-,1290,1296,2021-05-09
-18,0,122,2021-05-10
18-30,190,2012,2021-05-10
30-40,335,3126,2021-05-10
40-50,660,3790,2021-05-10
50-60,4500,5100,2021-05-10
60-75,5665,5747,2021-05-10
75-,1481,1492,2021-05-10
-18,0,95,2021-05-11
18-30,143,1592,2021-05-11
30-40,235,2502,2021-05-11
40-50,554,3214,2021-05-11
50-60,3686,4166,2021-05-11
60-75,5104,5180,2021-05-11
75-,1273,1279,2021-05-11
-18,0,66,2021-05-12
18-30,122,1461,2021-05-12
30-40,224,2019,2021-05-12
40-50,514,2664,2021-05-12
50-60,3133,3571,2021-05-12
60-75,4154,4224,2021-05-12
75-,1120,1133,2021-05-12
-18,0,104,2021-05-13
18-30,110,1570,2021-05-13
30-40,167,2443,2021-05-13
40-50,534,3612,2021-05-13
50-60,5764,6529,2021-05-13
60-75,8147,8257,2021-05-13
75-,2508,2527,2021-05-13
-18,0,113,2021-05-14
18-30,150,1676,2021-05-14
30-40,205,2553,2021-05-14
40-50,594,3983,2021-05-14
50-60,6254,7035,2021-05-14
60-75,7404,7496,2021-05-14
75-,2282,2298,2021-05-14
-18,0,119,2021-05-15
18-30,222,2122,2021-05-15
30-40,284,3096,2021-05-15
40-50,597,4220,2021-05-15
50-60,5510,6168,2021-05-15
60-75,7274,7382,2021-05-15
75-,2153,2167,2021-05-15
-18,0,41,2021-05-16
18-30,136,1546,2021-05-16
30-40,172,2511,2021-05-16
40-50,445,3404,2021-05-16
50-60,4290,4839,2021-05-16
60-75,5634,5724,2021-05-16
75-,1605,1621,2021-05-16
-18,0,48,2021-05-17
18-30,197,1467,2021-05-17
30-40,395,2752,2021-05-17
40-50,697,3585,2021-05-17
50-60,4510,5045,2021-05-17
60-75,5842,5918,2021-05-17
75-,1710,1719,2021-05-17
-18,0,80,2021-05-18
18-30,330,2029,2021-05-18
30-40,439,3413,2021-05-18
40-50,815,4336,2021-05-18
50-60,5372,6038,2021-05-18
60-75,7137,7230,2021-05-18
75-,2132,2146,2021-05-18
-18,0,100,2021-05-19
18-30,324,2064,2021-05-19
30-40,423,3316,2021-05-19
40-50,884,4692,2021-05-19
50-60,5531,6173,2021-05-19
60-75,6756,6873,2021-05-19
75-,1938,1960,2021-05-19
-18,0,97,2021-05-20
18-30,318,2136,2021-05-20
30-40,492,3881,2021-05-20
40-50,1101,5450,2021-05-20
50-60,7315,8111,2021-05-20
60-75,7250,7359,2021-05-20
75-,2068,2088,2021-05-20
-18,0,74,2021-05-21
18-30,220,1804,2021-05-21
30-40,436,3712,2021-05-21
40-50,1280,6013,2021-05-21
50-60,8726,9636,2021-05-21
60-75,6982,7074,2021-05-21
75-,2057,2071,2021-05-21
-18,0,51,2021-05-22
18-30,243,1508,2021-05-22
30-40,408,2496,2021-05-22
40-50,766,3591,2021-05-22
50-60,4689,5276,2021-05-22
60-75,5419,5512,2021-05-22
75-,1702,1721,2021-05-22
-18,0,44,2021-05-23
18-30,124,1362,2021-05-23
30-40,159,1936,2021-05-23
40-50,406,2929,2021-05-23
50-60,3813,4332,2021-05-23
60-75,4783,4860,2021-05-23
